Index,Text,Time,Year
58,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
59,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
60,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
61,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
62," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
63,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
64,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
65,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
66,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
67,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
68,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
69,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
70," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
71,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
72,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
73,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
74,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
75,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
76,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
77,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
78," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
79,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
80,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
81,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
82,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
83,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
84,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
85,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
86," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
87,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
88,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
89,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
90,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
91,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
92,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
93,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
94," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
95,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
96,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
97,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
98,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
99,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
100,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
101,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
102," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
103,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
104,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
105,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
106,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
107,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
108,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
109,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
110," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
111,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
112,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
113,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
114,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
115,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
116,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
117,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
118," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
119,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
120,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
121,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
122,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
123,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
124,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
125,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
126," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
127,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
128,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
129,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
130,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
131,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
132,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
